sqft,bedrooms,age_years,metro_distance_km,price_lakhs
3118,2,22,3.87,288.14
461,4,5,5.31,124.09
1595,2,19,2.28,160.49
3439,3,26,2.69,333.26
1272,1,25,14.99,100.72
2521,5,7,1.35,338.55
3432,2,29,2.54,306.33
2835,5,6,3.98,320.79
2371,3,12,2.58,248.18
2457,1,22,11.82,193.75
1810,1,21,11.00,153.59
1975,1,3,8.78,251.62
2879,2,18,13.31,312.57
3227,3,4,9.44,353.40
1171,3,6,11.07,148.52
3376,5,5,10.79,361.23
510,4,18,6.89,76.45
2727,4,4,13.18,272.52
1172,3,19,12.47,81.67
538,4,16,0.89,102.29
1544,4,30,7.25,245.40
3101,5,28,0.11,459.50
1036,1,14,3.76,111.13
1935,3,28,9.59,182.94
752,5,19,6.76,88.08
1878,3,26,14.01,170.16
2483,2,8,8.83,268.96
1333,4,14,14.60,33.92
1638,3,22,10.30,144.41
576,3,6,13.88,66.73
1492,2,10,0.21,258.75
3440,1,20,11.16,322.58
2798,1,25,6.07,246.20
563,3,2,10.12,66.43
2968,5,24,3.09,311.87
3320,5,5,8.55,378.62
2418,2,0,14.41,293.52
601,4,18,5.19,118.83
2538,1,15,11.50,197.14
2086,1,26,3.27,179.01
2031,4,2,9.44,277.54
2348,5,28,3.18,263.85
2118,4,16,1.43,282.25
3388,1,28,11.49,284.65
2646,1,3,9.38,323.79
744,4,8,4.87,136.62
3093,3,18,1.99,282.86
1832,4,26,8.76,118.40
2084,3,12,12.74,113.41
1483,5,1,8.36,233.05
2197,5,7,11.93,186.54
3434,2,23,1.68,324.96
1386,2,1,4.91,250.12
1360,3,20,5.00,124.61
1846,2,23,3.17,231.99
2655,3,29,13.76,207.51
1054,4,27,5.35,98.53
1309,1,8,7.84,129.81
3329,3,30,5.71,304.32
3240,4,15,6.86,271.20
